DATE,EXPTOTFL
1995-08-01,1522.8
1995-09-01,1556.0
1995-10-01,1672.1
1995-11-01,1657.8
1995-12-01,1588.4
1996-01-01,1538.5
1996-02-01,1609.9
1996-03-01,1867.9
1996-04-01,1792.1
1996-05-01,1740.2
1996-06-01,1782.6
1996-07-01,1658.7
1996-08-01,1655.2
1996-09-01,1676.4
1996-10-01,1802.8
1996-11-01,1903.1
1996-12-01,1717.0
1997-01-01,1620.9
1997-02-01,1737.1
1997-03-01,1985.6
1997-04-01,1921.6
1997-05-01,1963.7
1997-06-01,2068.7
1997-07-01,1933.7
1997-08-01,1934.7
1997-09-01,1900.0
1997-10-01,2124.7
1997-11-01,2082.1
1997-12-01,1961.6
1998-01-01,1699.5
1998-02-01,1937.8
1998-03-01,2134.1
1998-04-01,2031.5
1998-05-01,2022.7
1998-06-01,2140.8
1998-07-01,2034.2
1998-08-01,2020.6
1998-09-01,1702.1
1998-10-01,2397.8
1998-11-01,1948.2
1998-12-01,2382.8
1999-01-01,2077.8
1999-02-01,1848.7
1999-03-01,2189.7
1999-04-01,2144.5
1999-05-01,2053.7
1999-06-01,1939.6
1999-07-01,2064.8
1999-08-01,1896.1
1999-09-01,1861.3
1999-10-01,1998.8
1999-11-01,2022.1
1999-12-01,2057.7
2000-01-01,1846.1
2000-02-01,2049.9
2000-03-01,2442.2
2000-04-01,2135.9
2000-05-01,2188.8
2000-06-01,2340.9
2000-07-01,2133.1
2000-08-01,2265.9
2000-09-01,2227.3
2000-10-01,2247.4
2000-11-01,2323.1
2000-12-01,2342.5
2001-01-01,2223.8
2001-02-01,2310.0
2001-03-01,2585.9
2001-04-01,2310.0
2001-05-01,2557.3
2001-06-01,2367.6
2001-07-01,2214.5
2001-08-01,2269.4
2001-09-01,2041.6
2001-10-01,2176.8
2001-11-01,2086.8
2001-12-01,2041.0
2002-01-01,1834.5
2002-02-01,1905.5
2002-03-01,2212.1
2002-04-01,2240.2
2002-05-01,2174.2
2002-06-01,2036.6
2002-07-01,1967.4
2002-08-01,2124.9
2002-09-01,1956.1
2002-10-01,2133.7
2002-11-01,2081.8
2002-12-01,1877.2
2003-01-01,1847.3
2003-02-01,1942.3
2003-03-01,2155.4
2003-04-01,1952.1
2003-05-01,2148.5
2003-06-01,2000.5
2003-07-01,2038.8
2003-08-01,2189.0
2003-09-01,1982.7
2003-10-01,2306.2
2003-11-01,2166.7
2003-12-01,2224.1
2004-01-01,2122.4
2004-02-01,2267.0
2004-03-01,2660.6
2004-04-01,2368.6
2004-05-01,2675.0
2004-06-01,2322.4
2004-07-01,2296.5
2004-08-01,2306.5
2004-09-01,2162.7
2004-10-01,2640.5
2004-11-01,2473.1
2004-12-01,2670.0
2005-01-01,2534.6
2005-02-01,2582.7
2005-03-01,2871.7
2005-04-01,2848.0
2005-05-01,2908.6
2005-06-01,2727.8
2005-07-01,2746.0
2005-08-01,2693.5
2005-09-01,2752.5
2005-10-01,2613.6
2005-11-01,2927.7
2005-12-01,3170.2
2006-01-01,2714.9
2006-02-01,2950.9
2006-03-01,3468.3
2006-04-01,3006.8
2006-05-01,3135.5
2006-06-01,3269.4
2006-07-01,3164.9
2006-08-01,3169.4
2006-09-01,3367.3
2006-10-01,3455.3
2006-11-01,3428.6
2006-12-01,3413.3
2007-01-01,3119.5
2007-02-01,3527.5
2007-03-01,3829.9
2007-04-01,3526.2
2007-05-01,3729.7
2007-06-01,3869.9
2007-07-01,3682.2
2007-08-01,3924.6
2007-09-01,3738.6
2007-10-01,3914.1
2007-11-01,3871.6
2007-12-01,4097.8
2008-01-01,3771.9
2008-02-01,3981.1
2008-03-01,4335.4
2008-04-01,4439.4
2008-05-01,4939.8
2008-06-01,4749.6
2008-07-01,4877.3
2008-08-01,5250.5
2008-09-01,4977.5
2008-10-01,4903.7
2008-11-01,4175.9
2008-12-01,3869.8
2009-01-01,3592.0
2009-02-01,3752.7
2009-03-01,4009.8
2009-04-01,3675.8
2009-05-01,3854.0
2009-06-01,3785.8
2009-07-01,3796.9
2009-08-01,3726.2
2009-09-01,3841.3
2009-10-01,4497.0
2009-11-01,4193.5
2009-12-01,4194.5
2010-01-01,4083.5
2010-02-01,3937.9
2010-03-01,4506.3
2010-04-01,4402.4
2010-05-01,4821.0
2010-06-01,4724.0
2010-07-01,4436.9
2010-08-01,4597.5
2010-09-01,4756.3
2010-10-01,5190.0
2010-11-01,4898.5
2010-12-01,4872.7
2011-01-01,4504.7
2011-02-01,4832.4
2011-03-01,5536.7
2011-04-01,5457.3
2011-05-01,5396.5
2011-06-01,5259.7
2011-07-01,5674.8
2011-08-01,5442.2
2011-09-01,5795.0
2011-10-01,5776.7
2011-11-01,5695.1
2011-12-01,5385.0
2012-01-01,4902.4
2012-02-01,5284.4
2012-03-01,6032.7
2012-04-01,5372.4
2012-05-01,5651.3
2012-06-01,5850.8
2012-07-01,5332.6
2012-08-01,5586.0
2012-09-01,5739.9
2012-10-01,5732.6
2012-11-01,5555.2
2012-12-01,5357.8
2013-01-01,5122.845529
2013-02-01,4923.919971
2013-03-01,5480.639441
2013-04-01,5188.709422
2013-05-01,5230.958993
2013-06-01,5181.895397
2013-07-01,4759.563499
2013-08-01,5029.111295
2013-09-01,4648.395799
2013-10-01,5082.317515
2013-11-01,5089.882319
2013-12-01,4743.999744
2014-01-01,4488.062809
2014-02-01,4363.919416
2014-03-01,4832.659709
2014-04-01,4665.317941
2014-05-01,5370.907501
2014-06-01,4820.418297
2014-07-01,4736.570496
2014-08-01,5244.941337
2014-09-01,4527.346826
2014-10-01,5395.189938
2014-11-01,5214.360534
2014-12-01,4779.137055
2015-01-01,4433.040419
2015-02-01,4232.735714
2015-03-01,4962.224442
2015-04-01,4733.069088
2015-05-01,5111.883125
2015-06-01,4658.962027
2015-07-01,4328.339144
2015-08-01,4094.1008
2015-09-01,4144.016948
2015-10-01,4612.406096
2015-11-01,4099.479073
2015-12-01,4492.821561
2016-01-01,3976.946865
2016-02-01,3924.890757
2016-03-01,4552.260325
2016-04-01,4393.903331
2016-05-01,4579.261528
2016-06-01,4311.517421
2016-07-01,4255.08232
2016-08-01,4300.514132
2016-09-01,4361.116806
2016-10-01,4279.964308
2016-11-01,4206.173156
2016-12-01,4894.644222
2017-01-01,4018.608608
2017-02-01,4223.514263
2017-03-01,4882.403394
2017-04-01,4247.965647
2017-05-01,4510.974068
2017-06-01,4556.424105
2017-07-01,4501.19691
2017-08-01,4677.047542
2017-09-01,4002.659899
2017-10-01,5033.203694
2017-11-01,4877.350421
2017-12-01,5365.903407
2018-01-01,4468.312856
2018-02-01,4615.04656
2018-03-01,5241.493375
2018-04-01,4554.342373
2018-05-01,4969.401462
2018-06-01,4938.502167
2018-07-01,4474.290325
2018-08-01,4804.663459
2018-09-01,4505.518613
2018-10-01,4841.318793
2018-11-01,4845.233051
