DATE,BRWA53M647NCEN
1981-01-01,279582
1981-02-01,281619
1981-03-01,282814
1981-04-01,276520
1981-05-01,267026
1981-06-01,267560
1981-07-01,266872
1981-08-01,274548
1981-09-01,270685
1981-10-01,257120
1981-11-01,257852
1981-12-01,281189
1982-01-01,288153
1982-02-01,296037
1982-03-01,293593
1982-04-01,292236
1982-05-01,285457
1982-06-01,283137
1982-07-01,274480
1982-08-01,287542
1982-09-01,287107
1982-10-01,294111
1982-11-01,299303
1982-12-01,312281
1983-01-01,316070
1983-02-01,316039
1983-03-01,316411
1983-04-01,304111
1983-05-01,289763
1983-06-01,281238
1983-07-01,276559
1983-08-01,277118
1983-09-01,271982
1983-10-01,268830
1983-11-01,271586
1983-12-01,284442
1984-01-01,286841
1984-02-01,292253
1984-03-01,291938
1984-04-01,287497
1984-05-01,282031
1984-06-01,277663
1984-07-01,270140
1984-08-01,268795
1984-09-01,263907
1984-10-01,263613
1984-11-01,269340
1984-12-01,279037
1985-01-01,285383
1985-02-01,289314
1985-03-01,294199
1985-04-01,292764
1985-05-01,285739
1985-06-01,279475
1985-07-01,276831
1985-08-01,286338
1985-09-01,273542
1985-10-01,272710
1985-11-01,276329
1985-12-01,287184
1986-01-01,292263
1986-02-01,298875
1986-03-01,302497
1986-04-01,303941
1986-05-01,300144
1986-06-01,297283
1986-07-01,295549
1986-08-01,295773
1986-09-01,295345
1986-10-01,295172
1986-11-01,296285
1986-12-01,302142
1987-01-01,306067
1987-02-01,312239
1987-03-01,316265
1987-04-01,316668
1987-05-01,310049
1987-06-01,304247
1987-07-01,299547
1987-08-01,296719
1987-09-01,292101
1987-10-01,291881
1987-11-01,293828
1987-12-01,300165
1988-01-01,306692
1988-02-01,314475
1988-03-01,319256
1988-04-01,318434
1988-05-01,313751
1988-06-01,310510
1988-07-01,306700
1988-08-01,305731
1988-09-01,300569
1988-10-01,306396
1988-11-01,307137
1988-12-01,313988
1989-01-01,321661
1989-02-01,325669
1989-03-01,332520
1989-04-01,333375
1989-05-01,327182
1989-06-01,323586
1989-07-01,320328
1989-08-01,319547
1989-09-01,318980
1989-10-01,320777
1989-11-01,324759
1989-12-01,332218
1990-01-01,338418
1990-02-01,342592
1990-03-01,350760
1990-04-01,353107
1990-05-01,348015
1990-06-01,344794
1990-07-01,342937
1990-08-01,343644
1990-09-01,341299
1990-10-01,346791
1990-11-01,355086
1990-12-01,364776
1991-01-01,375930
1991-02-01,385739
1991-03-01,393754
1991-04-01,399808
1991-05-01,398618
1991-06-01,398787
1991-07-01,396797
1991-08-01,402040
1991-09-01,401694
1991-10-01,404322
1991-11-01,410933
1991-12-01,421012
1992-01-01,429075
1992-02-01,435986
1992-03-01,440932
1992-04-01,445377
1992-05-01,440220
1992-06-01,437869
1992-07-01,436060
1992-08-01,439451
1992-09-01,436635
1992-10-01,441266
1992-11-01,446324
1992-12-01,455389
1993-01-01,464103
1993-02-01,468356
1993-03-01,479305
1993-04-01,481824
1993-05-01,476507
1993-06-01,471540
1993-07-01,456829
1993-08-01,456145
1993-09-01,452306
1993-10-01,452252
1993-11-01,455935
1993-12-01,452252
1994-01-01,462496
1994-02-01,473864
1994-03-01,483004
1994-04-01,483268
1994-05-01,477952
1994-06-01,471998
1994-07-01,467173
1994-08-01,466721
1994-09-01,464492
1994-10-01,465852
1994-11-01,468434
1994-12-01,477646
1995-01-01,485057
1995-02-01,485218
1995-03-01,491524
1995-04-01,489025
1995-05-01,480083
1995-06-01,476514
1995-07-01,467434
1995-08-01,463455
1995-09-01,461980
1995-10-01,462615
1995-11-01,465761
1995-12-01,471011
1996-01-01,476919
1996-02-01,482020
1996-03-01,484188
1996-04-01,486508
1996-05-01,479572
1996-06-01,484940
1996-07-01,489853
1996-08-01,487268
1996-09-01,479371
1996-10-01,475923
1996-11-01,491085
1996-12-01,487312
1997-01-01,493404
1997-02-01,478579
1997-03-01,478579
1997-04-01,443028
1997-05-01,427693
1997-06-01,413372
1997-07-01,403801
1997-08-01,400637
1997-09-01,391287
1997-10-01,387813
1997-11-01,382672
1997-12-01,382402
1998-01-01,375506
1998-02-01,376758
1998-03-01,377779
1998-04-01,371836
1998-05-01,359997
1998-06-01,351853
1998-07-01,344136
1998-08-01,339014
1998-09-01,323251
1998-10-01,322981
1998-11-01,320024
1998-12-01,326240
1999-01-01,322934
1999-02-01,313757
1999-03-01,311602
1999-04-01,306677
1999-05-01,298433
1999-06-01,292910
1999-07-01,290661
1999-08-01,288862
1999-09-01,284762
1999-10-01,287413
1999-11-01,287426
1999-12-01,291724
2000-01-01,294233
2000-02-01,302619
2000-03-01,307599
2000-04-01,301409
2000-05-01,302012
2000-06-01,294405
2000-07-01,287754
2000-08-01,292621
2000-09-01,291516
2000-10-01,293510
2000-11-01,294397
2000-12-01,301974
2001-01-01,307673
2001-02-01,306155
2001-03-01,315234
2001-04-01,312471
2001-05-01,313159
2001-06-01,314936
2001-07-01,312581
2001-08-01,315531
2001-09-01,315442
2001-10-01,323317
